2019 USA Used Car Sales,,,,,,,,,
Manufacturer,Model,Production year,Price (USD),Layout,Powertrain,Fuel type,Mileage (in miles),Transmission,Location
Honda,Accord EX-L V6,2015," $16,998 ",FF,3.5 L V6,Gasoline,"92,015",6-spd Automatic,"Newark, DE"
Lexus,IS200t,2016," $16,998 ",FR,2.0 L I4 Turbocharged,Gasoline,"119,174",8-spd Automatic,"Fresno, CA"
Mercedes-Benz,E350 CGI BlueEFFICIENCY Convertible,2014," $17,998 ",FR,3.5 L V6,Gasoline,"67,869",5-spd Automatic,"Lynwood, WA"
Volvo,XC90 T6 Momentum 4x4,2016," $18,998 ",4WD,2.0 L I4 Twincharged,Gasoline,"95,233",8-spd Automatic,"Naperville, IL"
Audi,A6 Premium Plus 3.0 TFSI quattro,2016," $19,998 ",4WD,3.0 L V6 Supercharged,Gasoline,"72,185",7-spd DCT,"Tolleson, AZ"
Tesla,Model 3 Performance,2018," $27,998 ",4WD,Dual AC Motor,Electric,"28,272",CVT,"Costa Mesa, CA"
Mercedes-Benz,CLS400 4MATIC,2016," $27,998 ",4WD,3.5 L V6 Twin Turbo,Gasoline,"41,797",7-spd Automatic,"Austin, TX"
Lexus,LS460,2013," $28,998 ",FR,4.6 L V8,Gasoline,"44,422",8-spd Automatic,"Columbus, OH"
Mercedes-Benz,GL63 AMG 4MATIC,2015," $38,998 ",4WD,5.5 L V8 Twin Turbo,Gasoline,"38,483",9-spd Automatic,"North Attleboro, MA"
Lexus,LX570,2015," $39,998 ",4WD,5.7 L V8,Gasoline,"87,870",8-spd Automatic,"Sterling, VA"
Mercedes-Benz,AMG GT S,2016," $69,998 ",FR,4.0 L V8 Twin Turbo,Gasoline,"22,697",7-spd DCT,"Katy, TX"
Porsche,911 Carrera 4S Coupe,2015," $84,998 ",4WD,3.8 L F6,Gasoline,"22,656",7-spd DCT,"Scottsdale, AZ"
Bentley,Continental GT V8 S Convertible,2016," $99,900 ",FR,4.0 L V8 Twin Turbo,Gasoline,"13,607",8-spd Automatic,"Boca Raton, FL"
